eastside,2
faced,26
wearing,8
gang,76
color,11
graffiti-covered,1
wall,19
anything,41
around,166
expels,1
suspected,11
dealer,20
padlock,1
door,22
demand,17
effort,31
result,33
staff,21
autocratic,1
fault,5
real-life,22
educator,4
line,45
eddie,9
murphy,9
delight,4
shock,11
entertains,2
dead-on,1
celebrity,55
impersonation,5
observation,10
marriage,108
remembrance,1
mom,52
hamburger,1
nola,3
darling,5
simultaneous,2
sexual,36
different,149
partner,61
wanted,22
commit,11
solely,3
;,99
resists,2
owned,10
single,84
major,40
dad,40
sitcom,12
created,25
c,5
okie,1
john,46
g,2
stephen,3
developed,11
earl,2
pomerantz,1
originally,10
ran,7
cbs,4
starring,26
gerald,2
mcraney,1
macgillis,1
shanna,1
reed,3
polly,2
cast,46
beverly,8
archer,3
matt,3
mulhern,1
jon,7
cypher,2
marisa,1
ryan,17
nicole,3
dubuc,1
chelsea,12
hertford,1
passion,38
consuming,3
jade,1
stop,72
david,48
burn,5
house,129
sent,46
away,93
go,298
look,115
danger,43
mouse,9
greatest,36
secret,239
agent,73
side-kick,1
penfold,2
foil,9
scheme,37
baron,5
greenback,1
ebin,1
mathew,2
budding,11
ambitiously,2
join,98
hand,66
advocate,4
madhavi,2
mohan,11
office,21
space,57
order,123
independent,14
career,106
strained,2
opposite,19
end,174
uc,3
federation,6
recovered,3
anti-colonial,1
unit,25
rebel,18
londo,1
bell,10
elsewhere,3
char,4
aznable,2
re-appears,1
self,18
imposed,4
hiding,17
declaration,1
command,4
neo-zeon,1
movementand,1
intends,5
emigration,3
earth,88
inhabitant,16
bringing,22
apocalypse,12
managing,6
attack,59
zeon,3
garma,1
zabi,1
crew,71
warship,1
white,44
mobile,5
suit,9
asia,5
atlantic,3
ocean,15
headquarters,6
crewmembers,1
overcome,32
fear,51
loss,36
immaturity,1
insecurity,5
follow,73
fireman,1
sam,34
colleague,13
protect,55
welsh,3
pontypandy,1
whenever,2
alarm,4
sound,24
co-worker,10
counted,2
jump,8
fire,27
engine,8
hop,10
onto,17
helicopter,3
even,114
launch,18
inflatable,1
lifeboat,1
mount,6
provide,13
medical,30
attention,28
great,68
performance,38
yelling,1
energetic,7
story-telling,1
talk,46
thanks,12
ex-wife,9
pleasing,1
religion,15
mama,4
cora,2
almost,26
eighty,1
serious,19
financial,27
problem,74
meet,264
celebrate,20
anniversary,16
meal,8
arises,6
care,38
tim,12
allen,7
tool,7
grunting,1
myriad,1
obsession,19
male,19
showtime,2
premium,1
cable,8
aired,17
rose,12
stardom,11
improvement,2
amuro,1
ray,14
rest,31
denominated,1
th,59
autonomous,3
corp,6
outer,6
support,25
decisive,5
duchy,1
perform,23
bowl,7
pre-python,2
anil,3
humiliated,3
driven,14
bombay,6
performer,12
past,178
hard-earned,1
vijay,6
amitabh,2
bachchan,2
brutally,8
lynched,1
mobster,7
kancha,1
cheena,1
journey,197
quest,68
adult,32
watch,27
powerful,77
lose,26
satisfying,3
vengeance,9
steve,14
martin,20
present,52
selected,4
flying,14
circus,10
known,93
parrot,2
included,3
funny,39
comment,5
tv,85
upon,44
calvin,1
graham,4
enlisted,2
navy,7
wwii,6
religious,23
belief,43
clash,17
amish,2
infant,6
rural,26
community,66
-year-old,121
haemophiliac,1
contracted,3
aid,16
viii,1
control,64
disorder,9
raja,8
hazariprasad,1
attends,6
college,79
run-in,4
fellow-collegian,2
madhu,1
mehra,2
matter,32
escalate,5
extent,4
accuses,4
sexually,6
molesting,1
seize,5
chance,82
quickly,38
masquerade,3
married,80
prevails,2
engagement,8
changing,16
forever,53
follows,160
reve,1
walsh,1
murdered,33
fought,13
raise,19
awareness,3
missing,64
washington,13
tough,30
inner,23
los,37
angeles,30
rid,5
low,15
moral,10
teacher,60
restore,8
educational,12
value,22
defense,8
adulterous,1
husband,114
prime,24
suspect,44
murder,171
cheating,9
chooses,5
defend,22
betrayal,24
searching,22
truth,91
sane,2
filmed,30
bill,25
‘,35
album,18
turning,26
point,31
hick,9
complete,27
pulled,12
camera,23
completely,18
focused,6
newly-sober,1
pace,4
stage,97
wild,56
